"_id","company","payslipIds","approved","totalSalary","totalEligible","totalAdditions","totalDeductions","totalPayable","companyName"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4152","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4153","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4154","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4155","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4156","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4157","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4158","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4159","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb415a","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb415b","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb415c","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb415d","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb415e","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb415f","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4160","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4161","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4162","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4163","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4164","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4165","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4166","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4167","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4168","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb4169","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb416a","true","229230","0","0","0","0","United Development Company"
"5ab25efcd420c20001cb4147","UDC","5ab25efcd420c20001cb416b","true","229230","0","0","0","0","United Development Company"
